                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  1.602,                 1.0917,                0.92075,                0.63346,                 0.4928,                0.54874,                0.36422,                 1.5956,                 1.1126,                0.93013,              0.0004221,              0.0004221,              0.0004221
                     60,                 1.5511,                 1.0495,                0.91927,                0.62689,                0.50368,                0.54063,                 0.3618,                 1.6013,                 1.1105,                0.93216,             0.00041919,             0.00041919,             0.00041919
                     61,                  1.556,                 1.0757,                0.92633,                0.69373,                0.48247,                0.54737,                 0.3655,                 1.6284,                  1.112,                  0.934,             0.00041627,             0.00041627,             0.00041627
                     62,                 1.5908,                 1.0821,                0.92268,                0.62225,                0.51597,                0.55664,                0.37194,                 1.5913,                 1.0883,                0.92794,             0.00041336,             0.00041336,             0.00041336
                     63,                 1.5813,                 1.0768,                0.92727,                0.65306,                0.51185,                0.56029,                0.37906,                 1.5882,                 1.0762,                 0.9289,             0.00041045,             0.00041045,             0.00041045
                     64,                 1.5696,                 1.0699,                0.92147,                0.63645,                0.52372,                0.56659,                0.37863,                 1.5764,                 1.0824,                 0.9276,             0.00040754,             0.00040754,             0.00040754
                     65,                 1.5997,                 1.0824,                  0.924,                0.68579,                0.48887,                0.56695,                0.37835,                 1.5823,                 1.0732,                0.92579,             0.00040463,             0.00040463,             0.00040463
                     66,                   1.58,                 1.0735,                0.92148,                0.67009,                0.52011,                 0.5721,                 0.3812,                 1.5972,                 1.0523,                0.92697,             0.00040172,             0.00040172,             0.00040172
                     67,                 1.5639,                 1.0601,                0.92237,                0.68349,                0.51079,                0.57031,                0.36531,                  1.604,                 1.0996,                0.92725,             0.00039881,             0.00039881,             0.00039881
                     68,                 1.5625,                  1.056,                0.91455,                   0.67,                0.52458,                 0.5726,                0.37044,                 1.6377,                 1.0745,                0.93355,              0.0003959,              0.0003959,              0.0003959
                     69,                 1.5803,                  1.063,                0.92018,                  0.635,                 0.5301,                 0.5713,                0.38966,                  1.545,                 1.0387,                 0.9198,             0.00039299,             0.00039299,             0.00039299
