                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.5504,                 1.0825,                0.93975,                0.69227,                0.56927,                0.63295,                0.44194,                 1.5105,                 1.0678,                0.94557,             0.00026783,             0.00026783,             0.00026783
                     58,                 1.5265,                 1.0598,                0.93136,                0.73965,                0.56694,                0.63832,                0.45116,                 1.4873,                 1.0385,                0.93999,             0.00026201,             0.00026201,             0.00026201
                     59,                 1.5299,                 1.0535,                0.92311,                0.65096,                0.62384,                0.64897,                 0.4539,                 1.4915,                 1.0607,                0.94171,             0.00025619,             0.00025619,             0.00025619
                     60,                  1.486,                 1.0167,                0.92189,                0.72786,                0.60452,                0.65014,                0.45455,                 1.5005,                 1.0202,                0.94471,             0.00025037,             0.00025037,             0.00025037
                     61,                 1.4903,                 1.0388,                0.92987,                0.68226,                0.61182,                0.65442,                0.45495,                 1.5228,                 1.0264,                0.94378,             0.00024455,             0.00024455,             0.00024455
                     62,                 1.5236,                 1.0458,                0.92839,                0.72167,                0.58937,                0.64892,                0.45354,                 1.5045,                 1.0327,                0.94292,             0.00023873,             0.00023873,             0.00023873
                     63,                 1.5027,                 1.0373,                0.92786,                0.76719,                0.57528,                0.65186,                0.46054,                 1.4799,                 1.0094,                0.93753,             0.00023291,             0.00023291,             0.00023291
                     64,                 1.4863,                 1.0247,                0.92403,                0.72398,                0.60252,                0.64949,                0.45612,                  1.492,                 1.0318,                0.94099,             0.00022709,             0.00022709,             0.00022709
                     65,                 1.5391,                 1.0514,                0.92808,                0.73061,                0.61126,                0.65752,                 0.4675,                 1.4738,                  1.002,                0.93617,             0.00022126,             0.00022126,             0.00022126
                     66,                 1.5058,                 1.0357,                0.92549,                0.75486,                 0.5945,                0.67111,                0.47134,                 1.4796,                0.99085,                0.93536,             0.00021544,             0.00021544,             0.00021544
                     67,                 1.4921,                 1.0181,                 0.9227,                0.73533,                0.60574,                0.66111,                 0.4642,                 1.4705,                 0.9907,                0.93628,             0.00020962,             0.00020962,             0.00020962
                     68,                 1.5016,                 1.0235,                0.92027,                0.75047,                0.61102,                0.67413,                0.47601,                 1.4728,                0.98283,                0.93726,              0.0002038,              0.0002038,              0.0002038
                     69,                 1.4954,                 1.0191,                0.91823,                0.76522,                0.61068,                0.67737,                0.48714,                 1.4608,                0.97396,                 0.9334,             0.00019798,             0.00019798,             0.00019798
                     70,                 1.4627,                0.99557,                0.92145,                0.77985,                0.60181,                0.67453,                0.47701,                  1.454,                0.98602,                0.93439,             0.00019216,             0.00019216,             0.00019216
                     71,                 1.5028,                 1.0199,                0.92419,                0.72889,                0.62502,                0.67628,                0.48057,                 1.4543,                0.97741,                0.93177,             0.00018634,             0.00018634,             0.00018634
                     72,                 1.4984,                 1.0231,                0.92134,                0.72796,                0.61597,                0.67842,                0.48055,                 1.4421,                0.97824,                0.93112,             0.00018052,             0.00018052,             0.00018052
                     73,                 1.4751,                   1.01,                0.91834,                0.76501,                0.60218,                0.67471,                0.47142,                 1.5005,                0.96736,                0.94275,             0.00017469,             0.00017469,             0.00017469
                     74,                 1.4869,                 1.0049,                0.91694,                0.72421,                0.62226,                0.67351,                 0.4696,                 1.4764,                0.96579,                0.93538,             0.00016887,             0.00016887,             0.00016887
                     75,                 1.4908,                 1.0034,                0.91829,                0.76011,                0.61585,                0.68581,                0.47534,                  1.494,                0.97291,                0.93618,             0.00016305,             0.00016305,             0.00016305
                     76,                  1.472,                0.99192,                0.90995,                0.79037,                0.60844,                0.69635,                0.49421,                 1.4404,                0.96569,                0.92902,             0.00015723,             0.00015723,             0.00015723
                     77,                 1.4569,                0.98944,                 0.9146,                 0.7353,                0.64478,                0.69957,                0.49533,                 1.4299,                0.96267,                0.92669,             0.00015141,             0.00015141,             0.00015141
                     78,                 1.4687,                0.98704,                0.91864,                0.72445,                0.65126,                0.69833,                0.49625,                 1.4463,                0.94958,                0.92745,             0.00014559,             0.00014559,             0.00014559
